control.1	control.2	control.3	rna1.1	rna1.2	rna1.3	rna2.1	rna2.2	rna2.3	Majority.protein.IDs	Protein.names	Gene.names
95821000	55048000	66550000	96935000	146710000	152830000	84661000	108940000	86744000	O94967;O94967-2;O94967-3;A8MX09;E9PR96	WD repeat-containing protein 47	WDR47
860060000	803950000	687630000	786030000	914980000	816370000	720210000	795890000	844820000	Q9NVN8;A8MX10	Guanine nucleotide-binding protein-like 3-like protein	GNL3L
417020000	497970000	671820000	349810000	361770000	400410000	457270000	344810000	530240000	P49593;A8MX49;B5MCT7;B7Z2C3	Protein phosphatase 1F	PPM1F
2.035e+09	2507200000	2128500000	1949300000	1898800000	2089200000	1868200000	2007500000	1876400000	Q13492;A8MX97;Q13492-3;Q13492-2;F8VPG7;E9PN05	Phosphatidylinositol-binding clathrin assembly protein	PICALM
63231000	9.1e+07	65762000	84235000	75239000	69407000	88592000	78759000	64014000	Q9Y343;A8MXB7;Q9Y343-2	Sorting nexin-24	SNX24
285230000	172210000	216860000	76200000	94972000	84520000	164600000	129140000	134310000	A8MXV4	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19
161050000	111680000	164560000	93763000	183450000	115980000	152810000	165340000	117760000	Q8IVT5;A8MY87;F5H0K8;Q8IVT5-3;Q8IVT5-2;F8WEA9	Kinase suppressor of Ras 1	KSR1
68725000	69883000	35812000	87042000	99365000	112070000	45628000	25609000	41312000	Q6PFW1;A8MYH2;F8W9A8;B7WPL9;Q6PFW1-6;Q6PFW1-5;Q6PFW1-7;Q6PFW1-4;Q6PFW1-3;Q6PFW1-2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	PPIP5K1
176890000	157220000	122860000	182240000	159110000	147990000	126470000	139930000	132420000	Q9UPQ9-1;H0Y720;A8MYY3;C9J5L7;Q9UPQ9;Q9UPQ9-2	Trinucleotide repeat-containing gene 6B protein	TNRC6B
273780000	387200000	436170000	676060000	573920000	864420000	789890000	1057100000	882870000	P14406;A8MZ71;D6RIE3;D6RGV5;D6R9C3	Cytochrome c oxidase subunit 7A2, mitochondrial	COX7A2
1.3874e+10	1.5193e+10	1.4818e+10	1.19e+10	1.1191e+10	1.1276e+10	1.5717e+10	2.0178e+10	1.8012e+10	Q9UL46;A8MZ76;C9JE52;H0YM70	Proteasome activator complex subunit 2	PSME2
65108000	43793000	52336000	29434000	39545000	23053000	70109000	54039000	56406000	O75909;O75909-1;G3V2Q3;C9J9Q3;C9JSW4;A8MZK4;G3V5E1;C9JI13;O75909-2;O75909-4	Cyclin-K	CCNK
19458000	23900000	25218000	28509000	27857000	17824000	27272000	24451000	43377000	A9UHW6;A9UHW6-2	MIF4G domain-containing protein	MIF4GD
265200000	55673000	218050000	203580000	205250000	162320000	205530000	266370000	285680000	Q5R3I4;A9UJP8;E7ES35	Tetratricopeptide repeat protein 38	TTC38
3324500000	3756800000	3330300000	2797700000	3705100000	3188700000	3003600000	3500200000	3269900000	Q8IYB3;A9Z1X7;E9PCT1;Q8IYB3-2	Serine/arginine repetitive matrix protein 1	SRRM1
344900000	234590000	202430000	103790000	179120000	168720000	325810000	339870000	312390000	Q13303;Q13303-2;Q13303-3;B0AZR7;Q5TG81;Q5TG80	Voltage-gated potassium channel subunit beta-2	KCNAB2
231960000	187040000	180740000	126850000	156060000	75286000	291790000	160740000	191670000	O60238;H0YBC7;B0AZS9	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	BNIP3L
54150000	49087000	71345000	174590000	197020000	192570000	73118000	71443000	67615000	Q14106;P50616;B0QXZ4	Protein Tob2;Protein Tob1	TOB2;TOB1
52968000	57567000	49294000	66738000	58901000	72799000	50239000	77044000	49683000	Q9UGU5;B0QXZ8;B0QXZ9	HMG domain-containing protein 4	HMGXB4
1229500000	827240000	1.059e+09	318460000	439820000	506800000	396190000	345910000	397750000	Q9UH99;B0QY62	SUN domain-containing protein 2	SUN2
253390000	227250000	245880000	339360000	417850000	312730000	161520000	149850000	126400000	Q969V6;E7ER32;B0QY83;E9PCL0	MKL/myocardin-like protein 1	MKL1
141380000	182470000	95874000	113260000	121790000	116760000	111530000	114620000	110140000	Q9NQG6;B0QY95	Mitochondrial dynamics protein MID51	MIEF1
142370000	95844000	100700000	108190000	99617000	103130000	113990000	106590000	119550000	Q8WUA7;B0QYI1;F8WDP1;Q8WUA7-2;B0QYI3	TBC1 domain family member 22A	TBC1D22A
635390000	860380000	893570000	1172200000	1268500000	1211300000	1489700000	1.686e+09	1428100000	Q01844;C9JGE3;B0QYK0;Q01844-2;B0QYK1;Q96FE8;Q96MX4	RNA-binding protein EWS	EWSR1
228230000	237010000	271720000	234790000	239660000	229740000	3.08e+08	320740000	358660000	P61218;F8WC47;B0QYL8;B0QYL9	DNA-directed RNA polymerases I, II, and III subunit RPABC2	POLR2F
174650000	157680000	165760000	125890000	154420000	134940000	110490000	105430000	154570000	P41229;P41229-2;B0QZ44;P41229-3;F5H3T1	Lysine-specific demethylase 5C	KDM5C
68393000	38328000	58891000	28649000	26971000	29775000	51076000	38973000	56986000	B0QZE2;E7ENI9;B7Z293;F6UH50;Q2LD45;Q15326;F5H449;Q5BJG6;Q5VUI0	Zinc finger MYND domain-containing protein 11	ZMYND11
92704000	53968000	61312000	164900000	117850000	169290000	88361000	87787000	100820000	Q7L4E1;B0QZG3;Q7L4E1-2;Q7L4E1-3	Protein FAM73B	FAM73B
575050000	547720000	763230000	559920000	654860000	579600000	586320000	439260000	512620000	P46379;B0UX83;G3V1Z5;P46379-2;P46379-3;F8VX53;E7EMZ4;F8VXY4;F6S6P2;F6TH84	Large proline-rich protein BAG6	BAG6
673510000	536390000	545330000	416320000	538260000	408550000	671700000	903140000	867150000	P28062;P28062-2;Q5JNW7;B0UZC1	Proteasome subunit beta type-8	PSMB8
417730000	374210000	3.69e+08	345190000	413080000	372300000	388890000	389600000	322440000	Q96KQ7;Q96KQ7-2;B0UZY3;A2ABF8;B0UZY0;B0UZY1;A2ABF9;H0YIM0;H0YHA9	Histone-lysine N-methyltransferase EHMT2	EHMT2
650230000	547380000	577950000	484360000	545530000	557880000	577020000	537050000	674660000	B0UZZ8;O15213;Q5HYZ1;A2ABB6	WD repeat-containing protein 46	WDR46
9739300000	1.0146e+10	9412100000	1.017e+10	1.0617e+10	1.061e+10	9409600000	9006900000	9473400000	P26640;B0V043;H0Y4A6	Valine--tRNA ligase	VARS
3170700000	3023300000	3272400000	2719700000	2619100000	2761800000	2587700000	2848900000	2544100000	B1A8Z4;B1A8Z6;P51532;Q9HBD4;B1A8Z7;B1A8Z5;F5H0X5	Transcription activator BRG1	SMARCA4
140520000	96310000	307470000	123370000	205840000	112190000	122900000	107920000	55608000	B1AH87;P30536	Translocator protein	TSPO
95156000	112730000	92294000	129620000	134660000	140970000	105230000	128410000	110990000	Q9NSP4;B1AHQ9;Q9NSP4-2	Centromere protein M	CENPM
35878000	45227000	45786000	37804000	46218000	51237000	35814000	46249000	46369000	Q9UH03;B7Z686;B1AHR1;Q9UH03-2	Neuronal-specific septin-3	SEPT3
672490000	756120000	581540000	529070000	566330000	656140000	603610000	554890000	835770000	P35914;B1AK13;F5GYT9;B4DUP4	Hydroxymethylglutaryl-CoA lyase, mitochondrial	HMGCL
1071900000	1156500000	1.144e+09	1366400000	1798300000	1301300000	1742100000	1688300000	1732200000	Q6P587;Q6P587-2;B1AK40	Acylpyruvase FAHD1, mitochondrial	FAHD1
208230000	170870000	187670000	136730000	177940000	179330000	175400000	205410000	169250000	Q9HAF1;Q9HAF1-2;B1AK64;Q9HAF1-3;B1AK63	Chromatin modification-related protein MEAF6	MEAF6
53898000	37918000	79013000	45849000	83082000	55555000	49517000	45944000	62901000	Q9UJF2;B1AKC7;F8W755	Ras GTPase-activating protein nGAP	RASAL2
735340000	710800000	571610000	641440000	608390000	687480000	650220000	403340000	469990000	Q5TZA2;Q5TZA2-2;B1AKD8	Rootletin	CROCC
70044000	124680000	105160000	45336000	45251000	35248000	114040000	81419000	110060000	Q9NUK0;B1AKI6;Q9NUK0-2;Q9NUK0-4;Q9NUK0-3	Muscleblind-like protein 3	MBNL3
3579200000	3596300000	3167600000	3088700000	3302700000	3317600000	3030900000	2858100000	2951800000	O43847;O43847-2;B1AKJ5;F5H6R2;G3V1R5;F5H7V1	Nardilysin	NRD1
52660000	55370000	23149000	106550000	91276000	138830000	77504000	123700000	167140000	Q9NRA8;B1AKL4;Q9NRA8-2;B1AKL3;B1AKL5;B4DR76	Eukaryotic translation initiation factor 4E transporter	EIF4ENIF1
1438200000	928090000	1136600000	1126600000	1657800000	1691500000	1296400000	1351800000	1270200000	Q9NP97;B1AKR6;B4DFR2;Q8TF09	Dynein light chain roadblock-type 1;Dynein light chain roadblock-type 2	DYNLRB1;DYNLRB2
2630200000	2047200000	821170000	1071200000	427260000	1325400000	949540000	1418500000	940110000	Q9Y483;Q9Y483-2;Q9Y483-3;B1AKT6	Metal-response element-binding transcription factor 2	MTF2
1180200000	1069600000	856380000	760820000	840870000	908820000	956760000	904160000	811590000	Q8N983;H0Y6Y8;B1AL05;B5MDQ2;Q8N983-4;Q8N983-3;Q8N983-2;C9J5Q3;B1AL06	39S ribosomal protein L43, mitochondrial	MRPL43
519140000	414970000	353040000	321090000	334470000	372720000	469850000	450740000	478460000	Q7L3B6;B1AL69	Hsp90 co-chaperone Cdc37-like 1	CDC37L1
234590000	307850000	356780000	316240000	397990000	369570000	342200000	332330000	343620000	Q92540;B1ALB4;E9PCE5;E9PD50;Q92540-2;E9PCI0;Q92540-4;E9PEH2	Protein SMG7	SMG7
1230100000	1261900000	1386500000	1338800000	1314800000	1.196e+09	1359800000	1242600000	1306900000	Q14155-1;B1ALK7;B7Z6G2;Q14155-5;Q14155;Q14155-6;Q14155-2;Q14155-3;E7EUY6;H0YFH7;E9PDQ5	Rho guanine nucleotide exchange factor 7	ARHGEF7
191720000	168320000	173270000	107850000	102790000	82796000	98494000	122430000	73452000	Q8IXS6-2;C9JA33;D3YTA4;B1ALY0;Q8IXS6	Paralemmin-2	PALM2;PALM2-AKAP2
61420000	84298000	66132000	152870000	85673000	110960000	79635000	84969000	116110000	O14795;F5GZ07;F8W8M9;B1AM27	Protein unc-13 homolog B	UNC13B
376230000	334940000	318220000	202870000	152940000	200530000	327930000	4.5e+08	408900000	Q14141;B1AMS2;Q14141-2;Q14141-4;F5H1J5;E7ETH8;B4E049	Septin-6	SEPT6
316450000	291080000	335250000	170410000	153860000	122250000	92388000	105380000	147060000	P19256-3;P19256;H0YDI1;E9PGV2;B1AMW1;P19256-2	Lymphocyte function-associated antigen 3	CD58
1.174e+10	1.1103e+10	1.1793e+10	1.0605e+10	1.1045e+10	1.0123e+10	1.2068e+10	1.2669e+10	1.2651e+10	Q13310;Q13310-2;B1ANR0;Q4VC03;H0Y5F5	Polyadenylate-binding protein 4	PABPC4
296350000	390780000	786170000	87413000	147590000	84896000	168250000	117360000	173190000	P08174;P08174-2;E9PSH2;B1AP13;Q14UF5;Q14UF4;Q14UF6;F5H2H0;B1AP15	Complement decay-accelerating factor	CD55
261060000	509580000	589890000	197290000	160120000	206520000	489360000	530990000	397490000	P35610;B1APM4	Sterol O-acyltransferase 1	SOAT1
105350000	109830000	119260000	176380000	185710000	257500000	134380000	190750000	141120000	Q99504;B1APR7;Q99504-2;B4DNZ7;B4DIR7;Q8IVX7	Eyes absent homolog 3	EYA3
174550000	178050000	190100000	224240000	127140000	232590000	193890000	199040000	252250000	P22415;B1AQP1;Q7Z5Y1	Upstream stimulatory factor 1	USF1
485890000	648240000	469750000	506310000	565980000	578300000	618970000	656180000	7.59e+08	P07602;C9JIZ6;F8W6Z6;B1AVU8;P07602-2;P07602-3;F5H0X6	Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D	PSAP
112200000	59945000	56532000	69069000	75032000	64296000	83900000	84245000	59815000	Q03518;F5H648;B1AZV3	Antigen peptide transporter 1	TAP1
405080000	323460000	327190000	448650000	493660000	444460000	377440000	422240000	458080000	Q4V328;B1B0M1;F5H504;Q4V328-4	GRIP1-associated protein 1	GRIPAP1
267430000	226540000	262250000	221110000	179480000	168970000	254450000	229650000	226550000	P21675;P21675-2;P21675-3;B1Q2X3;P21675-4;Q8IZX4	Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 1-like	TAF1;TAF1L
587530000	544510000	788940000	234630000	392290000	381110000	188060000	311170000	223790000	C9JXL3;E9PDL9;B2CI53;D3K174;Q9Y6M7;Q9Y6M7-2;B5M452;B5M453;C9JRP1;E9PGC1;E9PFN4;Q9Y6M7-4;Q9Y6M7-3;B6DY53;Q9Y6M7-5;F8W7E6;B6DY52	Sodium bicarbonate cotransporter 3	SLC4A7
60236000	31126000	55361000	73233000	105970000	85503000	63586000	58741000	66669000	Q5PSV4;H0YHD0;B2RD65	Breast cancer metastasis-suppressor 1-like protein	BRMS1L
1.3451e+10	1.4321e+10	1.5704e+10	6037400000	5717600000	5600300000	7077400000	6379300000	6049300000	Q8NBS9;Q86UY0;B2RDM2	Thioredoxin domain-containing protein 5	TXNDC5
70053000	43203000	102210000	97475000	119730000	83827000	85968000	92017000	123310000	P17544;P17544-2;P17544-4;P17544-3;B2RMP1;P17544-5	Cyclic AMP-dependent transcription factor ATF-7	ATF7
600320000	730310000	486780000	66458000	131310000	97933000	188380000	226770000	254660000	Q9Y6N7;C9JVN5;F8WAA2;E9PD49;B2RXI1;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7-2	Roundabout homolog 1	ROBO1
522370000	437380000	369210000	740150000	1019300000	977170000	724800000	686170000	818620000	Q6NYC1;B2WTI4;Q6NYC1-2;Q6NYC1-3	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	JMJD6
1.4031e+11	1.3891e+11	1.376e+11	1.5414e+11	1.5137e+11	1.5154e+11	1.7434e+11	1.7673e+11	1.6957e+11	B2ZZ83;O75369;O75369-2;Q60FE7;O75369-6;O75369-3;E7EN95;O75369-7;O75369-5;O75369-4	Filamin-B	FLNB
1498800000	3390500000	5866400000	1.1593e+10	7315800000	1.3909e+10	7858700000	1.0623e+10	6410100000	P55209;F8VY35;F8VV59;F5H4R6;H0YIV4;B3KNT8;F8VUX1;B3KV44;B7Z9C2;F8W0J6;F8W118;H0YHC3;H0YH88;F8W020;F8VXI6;F8VRJ2	Nucleosome assembly protein 1-like 1	NAP1L1
3594800000	3324500000	3462900000	3523500000	3657600000	4027100000	3.314e+09	3059400000	3314800000	Q12849;F5H5I6;B3KP14;H0Y8R1;H0YAK1;B3KPW0	G-rich sequence factor 1	GRSF1
47901000	53697000	49272000	39610000	32929000	45566000	43269000	54062000	28468000	Q8IXK0;B3KPJ4;Q8IXK0-2;Q8IXK0-4;Q8IXK0-5;C9J3D2;Q8IXK0-3	Polyhomeotic-like protein 2	PHC2
1287400000	1091200000	810240000	1131100000	1273200000	1.042e+09	833090000	887990000	922520000	Q6YP21;B3KQ13	Kynurenine--oxoglutarate transaminase 3	CCBL2
191950000	279720000	298270000	332220000	350560000	294890000	244510000	198290000	172120000	P37268;E9PNM1;B3KQ95;B4DT56;B7Z1J3;E9PS69;E9PJG4	Squalene synthase	FDFT1
5.0787e+10	5.6997e+10	5.7731e+10	4.8201e+10	4.6848e+10	4.902e+10	4.1022e+10	4.555e+10	4.6044e+10	P30101;B3KQT9;G5EA52;F5H119	Protein disulfide-isomerase A3;Protein disulfide-isomerase	PDIA3
60163000	95046000	39784000	86633000	97257000	86442000	74479000	68386000	45277000	Q9NPA5;B3KQX0;E2QRH5;Q9NPA5-2;Q5JWM1;Q9NTW7;Q9NTW7-3	Zinc finger protein 64 homolog, isoforms 1 and 2;Zinc finger protein 64 homolog, isoforms 3 and 4	ZFP64
263180000	327900000	340320000	203850000	293420000	314820000	359630000	391650000	374030000	B3KRJ9;Q8WXA9-2;Q8WXA9	Splicing regulatory glutamine/lysine-rich protein 1	SREK1
621970000	753510000	728970000	675280000	754620000	729810000	1.088e+09	1183500000	1104300000	Q92769;B3KRS5	Histone deacetylase 2	HDAC2
1.275e+09	1159100000	1270700000	1093500000	1262400000	1302100000	1342200000	988690000	970690000	P52298;C9JQX9;B3KSB0;P52298-2;E9PAR5	Nuclear cap-binding protein subunit 2	NCBP2
2491500000	2731300000	2687300000	3221500000	3380300000	3592900000	3733900000	2693300000	3225400000	O00303;B4DMT5;B3KSH1	Eukaryotic translation initiation factor 3 subunit F	EIF3F
5865600000	4800500000	4957600000	2777100000	3278900000	2985900000	4748800000	4295700000	4193600000	P49959;B3KTC7;F8W7U8;P49959-2	Double-strand break repair protein MRE11A	MRE11A
68798000	47875000	46905000	23227000	29448000	38472000	13559000	17288000	17047000	Q16654;B3KU25	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial	PDK4
302900000	176250000	315680000	417660000	239700000	197470000	223200000	210170000	216120000	Q6P2P2;B3KU92	Putative protein arginine N-methyltransferase 9	PRMT9
1113200000	1024300000	884350000	868410000	872860000	1.018e+09	862420000	852080000	839400000	B3KVH1;B7ZM82;O95785;O95785-2	Protein Wiz	WIZ
80106000	89794000	81703000	78448000	58255000	84487000	85267000	61665000	72557000	Q9BUL5;B3KVH8	PHD finger protein 23	PHF23
1.2637e+10	1.1123e+10	1.033e+10	1.0572e+10	8868200000	1.0529e+10	1.2292e+10	1.0588e+10	1.2202e+10	P14678;P63162;P14678-2;B3KVR1;E7ERB2;E7ENP4;P14678-3	Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein N	SNRPB;SNRPN
581980000	358820000	287130000	393300000	296950000	376500000	568900000	434740000	475720000	Q9H3R5;B3KVZ3;H0Y9E6	Centromere protein H	CENPH
44306000	26652000	25828000	33151000	36635000	51514000	70352000	71992000	41850000	Q8WU10;B3KWN8	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1	PYROXD1
353960000	588310000	407020000	278260000	231530000	293030000	311460000	426930000	397210000	Q6ZN18;G5EA50;B3KXA1;Q6ZN18-3;Q6ZN18-2	Zinc finger protein AEBP2	AEBP2
6685600000	6399500000	5.309e+09	6.356e+09	6442300000	6583300000	6864800000	6.683e+09	6903400000	P36776;B3KXS5;F5GZ27	Lon protease homolog, mitochondrial	LONP1
22486000	23115000	24213000	23063000	37381000	44311000	35277000	27299000	35079000	Q8NBW4;D6RER8;E7ESU6;D6RG31;D6RHF5;D6R9Q7;Q8NBW4-2;B7Z7D0;B3KXV1	Putative sodium-coupled neutral amino acid transporter 9	SLC38A9
1.777e+09	1358800000	1445800000	1468300000	1538200000	1531100000	1552400000	1514200000	1424200000	O43747;B3KXW5;O43747-2;E7EUH1;F5GZV5	AP-1 complex subunit gamma-1	AP1G1
56928000	43967000	29699000	45148000	37006000	55429000	39236000	46552000	51228000	P54687;F5H2F2;B3KY27;B7Z5L0;Q68DQ7;F5H5E4	Branched-chain-amino-acid aminotransferase, cytosolic	BCAT1
117750000	54425000	85478000	85043000	92715000	64818000	102300000	90487000	137220000	Q8TCG2;G5E9Z4;B3KY39	Phosphatidylinositol 4-kinase type 2-beta	PI4K2B
72200000	59805000	88589000	46930000	66224000	60460000	76855000	99861000	95640000	P19793;B3KY83;P48443	Retinoic acid receptor RXR-alpha;Retinoic acid receptor RXR-gamma	RXRA;RXRG
82872000	70825000	76784000	82713000	71824000	95083000	89076000	105400000	164140000	Q13188;B3KYA7	Serine/threonine-protein kinase 3;Serine/threonine-protein kinase 3 36kDa subunit;Serine/threonine-protein kinase 3 20kDa subunit	STK3
635640000	471370000	389820000	484250000	469790000	476990000	525590000	387210000	4.44e+08	O75419;B4DDB4;E9PDH7	Cell division control protein 45 homolog	CDC45
234010000	175740000	244320000	145380000	248040000	139500000	187500000	91412000	214890000	Q8IZ73;B4DDD1;F5H6I4	RNA pseudouridylate synthase domain-containing protein 2	RPUSD2
121200000	97131000	195670000	74366000	78727000	83905000	86194000	143750000	141500000	Q9BR77;F5H0W5;B4DDE8	Coiled-coil domain-containing protein 77	CCDC77
38173000	40965000	41105000	14397000	22054000	17006000	13532000	14527000	15608000	Q10469;B4DDK9	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT2
87977000	71831000	70017000	54327000	72305000	58419000	57725000	47584000	66345000	Q8TB61;B4DDM2;F5H7Y9;Q8TB61-3;Q8TB61-2	Adenosine 3-phospho 5-phosphosulfate transporter 1	SLC35B2
212500000	206960000	401680000	144370000	135390000	103200000	105070000	87869000	111490000	O96005;B4DDS3;F5H8J3;O96005-2	Cleft lip and palate transmembrane protein 1	CLPTM1
936970000	700590000	872450000	998600000	822490000	892950000	866090000	948850000	819080000	P54619;B4DDT7;F8VYY9;F8W9D1;F8VVA3;H0YIC9	5-AMP-activated protein kinase subunit gamma-1	PRKAG1
318220000	339400000	270800000	746660000	731850000	753980000	378310000	438570000	527590000	Q13325;B4DDV1	Interferon-induced protein with tetratricopeptide repeats 5	IFIT5
93466000	55954000	71409000	80795000	74433000	54483000	118430000	89787000	68548000	Q8N6T7;B4DDV3;Q8N6T7-4;Q8N6T7-2	NAD-dependent protein deacetylase sirtuin-6	SIRT6
21593000	36364000	18431000	36767000	49575000	41116000	31705000	25896000	25910000	Q96HA8;E5RIY9;B4DE68	Protein N-terminal glutamine amidohydrolase	WDYHV1;PCDHB16
1.6648e+10	1.3127e+10	1116200000	1.3666e+10	5821200000	1.5384e+10	1.4255e+10	1.2767e+10	1.1225e+10	Q9C037;Q9C037-2;B4DEC5;Q9C037-3	Tripartite motif-containing protein 4	TRIM4
654780000	518330000	511450000	817980000	783950000	844620000	606450000	863440000	764360000	Q9H8Y8;B4DEI4;B4DKT0;Q9H8Y8-2	Golgi reassembly-stacking protein 2	GORASP2
469600000	425550000	683930000	93280000	99421000	90310000	83962000	102760000	95721000	Q8IV08;B4DEL6	Phospholipase D3	PLD3
81885000	97883000	109320000	114350000	84280000	95260000	139180000	96262000	116380000	Q96SQ5;Q8TAU3;E7EP41;F5H0M9;B4DEU1;G3V0H5	Zinc finger protein 587;Zinc finger protein 417	ZNF587;ZNF417;EPGN
378580000	492810000	478300000	443010000	405540000	485950000	425070000	509750000	469400000	O43414;B4DEX5;E9PDK8;O43414-3;O43414-2;H0Y4B0;C9JA75;F6QUN3	ERI1 exoribonuclease 3	ERI3;PRNPIP
307850000	180330000	191370000	149220000	184510000	163680000	144900000	112020000	183160000	Q9HBG6;B4DPW7;B4DEY9;Q9BTY4;Q9HBG6-3;E7EQF4;Q9HBG6-2;G3XAB1;E7ERZ5;E9PDG2	Intraflagellar transport protein 122 homolog	IFT122
331510000	329850000	376350000	353470000	395110000	332120000	439710000	454040000	397480000	Q9BUK6;B4DF47;Q9BUK6-3;Q9BUK6-2;Q9BUK6-7;B4DHK3	Protein misato homolog 1	MSTO1
959020000	738160000	639470000	583750000	633260000	611170000	523840000	591270000	581940000	P48735;B4DFL2;B4DSZ6;H0YL11	Isocitrate dehydrogenase [NADP], mitochondrial	IDH2
2456900000	2485900000	2.793e+09	1963800000	2134600000	2121600000	2733500000	1905100000	1997100000	Q969G3;B4DGM3;C0IMW5;B4DFR4;Q969G3-2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	SMARCE1
7268400000	6137700000	5.293e+09	7101100000	6836800000	6957700000	6022100000	6121400000	6398600000	P19367;B4DG62;E7ENR4;P19367-4;P19367-2;P19367-3	Hexokinase-1	HK1
31996000	44374000	42771000	47978000	53767000	31142000	41947000	51432000	28852000	Q96G74;B4DGG7;Q96G74-2;Q96G74-3;G5E9D7	OTU domain-containing protein 5	OTUD5
131580000	103430000	108750000	115050000	101040000	90220000	100860000	124050000	127020000	Q9NX70;B4DGM4	Mediator of RNA polymerase II transcription subunit 29	MED29
644660000	591680000	536600000	759110000	682540000	689100000	623370000	678660000	774810000	P48426;B4DGX2;Q5JUT3;E9PCB2	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	PIP4K2A
